NMeta,Pi,Time
504,3.1418880000,0.002200567
505,3.1412600000,0.002222739
506,3.1416432000,0.002425598
507,3.1439792000,0.002296988
508,3.1417448000,0.002649478
509,3.1406088000,0.002251732
510,3.1414032000,0.002220314
511,3.1421152000,0.002365757
512,3.1419072000,0.002205907
513,3.1416568000,0.002389571
514,3.1418032000,0.002238117
515,3.1428920000,0.002224952
516,3.1416920000,0.002371618
517,3.1418704000,0.002204865
518,3.1406648000,0.002194275
519,3.1419880000,0.002411583
520,3.1425312000,0.002262012
521,3.1406160000,0.002392437
522,3.1407712000,0.002211157
523,3.1416688000,0.002218109
524,3.1420944000,0.002418195
525,3.1414016000,0.002224992
526,3.1420568000,0.002215084
527,3.1409384000,0.002380956
528,3.1415512000,0.002240722
529,3.1418136000,0.002410490
530,3.1413216000,0.002235483
531,3.1397832000,0.005117357
532,3.1420984000,0.002398167
533,3.1420304000,0.002293872
534,3.1427928000,0.002231645
535,3.1427192000,0.002251493
536,3.1411456000,0.002367079
537,3.1419440000,0.002209243
538,3.1407344000,0.002224852
539,3.1419000000,0.002435879
540,3.1410120000,0.002241203
541,3.1419424000,0.002345579
542,3.1421992000,0.002205776
543,3.1422976000,0.002222358
544,3.1422848000,0.002402035
545,3.1420392000,0.002242726
546,3.1418872000,0.002205285
547,3.1418048000,0.002377899
548,3.1429656000,0.002192231
549,3.1419488000,0.002428855
550,3.1414744000,0.002239871
551,3.1411736000,0.002209473
552,3.1429136000,0.002383429
553,3.1414152000,0.002216527
554,3.1419944000,0.002391836
555,3.1416552000,0.002254929
556,3.1415832000,0.002218440
557,3.1417904000,0.002408697
558,3.1422864000,0.002207731
559,3.1411800000,0.002414327
560,3.1411264000,0.002266561
561,3.1429928000,0.002210055
562,3.1418560000,0.002397646
563,3.1418712000,0.002234110
564,3.1418056000,0.002246213
565,3.1414296000,0.002408987
566,3.1427232000,0.002222478
567,3.1425616000,0.002186381
568,3.1413312000,0.002402095
569,3.1418872000,0.002253025
570,3.1420152000,0.002393909
571,3.1405432000,0.002211608
572,3.1411464000,0.002215575
573,3.1412608000,0.002376767
574,3.1424792000,0.002231405
575,3.1415576000,0.002392637
576,3.1414648000,0.002316655
577,3.1419600000,0.002205796
578,3.1413384000,0.002427543
579,3.1408960000,0.002245040
580,3.1413608000,0.002202751
581,3.1402064000,0.002393789
582,3.1415840000,0.002207870
583,3.1402744000,0.002391626
584,3.1420208000,0.002266460
585,3.1411400000,0.002206087
586,3.1418336000,0.002440908
587,3.1407792000,0.002202270
