NMeta,Pi,Time
320,3.1404800000,0.002199986
321,3.1426720000,0.002319940
322,3.1431000000,0.002209573
323,3.1415000000,0.002205767
324,3.1419600000,0.002449474
325,3.1425344000,0.002203312
326,3.1405672000,0.002398748
327,3.1412032000,0.002115027
328,3.1415984000,0.002208381
329,3.1415200000,0.002396455
330,3.1414000000,0.002209704
331,3.1416960000,0.002147928
332,3.1419656000,0.002423565
333,3.1422192000,0.002203162
334,3.1412424000,0.002207520
335,3.1416520000,0.002406292
336,3.1419504000,0.002216327
337,3.1421792000,0.002447991
338,3.1417440000,0.002106961
339,3.1418504000,0.002199876
340,3.1409184000,0.002425298
341,3.1416624000,0.002205907
342,3.1414960000,0.002223901
343,3.1427648000,0.002404810
344,3.1400912000,0.002204724
345,3.1428128000,0.002434606
346,3.1426872000,0.002104317
347,3.1432680000,0.002205816
348,3.1402656000,0.002425058
349,3.1424528000,0.002212680
350,3.1421104000,0.002208451
351,3.1426624000,0.002405200
352,3.1419272000,0.002206859
353,3.1418640000,0.002272191
354,3.1416136000,0.002282451
355,3.1404472000,0.002202490
356,3.1419600000,0.002281589
357,3.1415640000,0.002269496
358,3.1426928000,0.002216296
359,3.1422528000,0.002250821
360,3.1407808000,0.002279384
361,3.1398496000,0.002204695
362,3.1409400000,0.002279655
363,3.1415632000,0.002273824
364,3.1412536000,0.002280186
365,3.1418784000,0.002251141
366,3.1421160000,0.002200747
367,3.1426016000,0.002257904
368,3.1410392000,0.002287400
369,3.1420912000,0.002204053
370,3.1420088000,0.002278433
371,3.1401408000,0.002198453
372,3.1418216000,0.002294924
373,3.1411840000,0.002296347
374,3.1408816000,0.002234300
375,3.1409048000,0.002253306
376,3.1420344000,0.002295104
377,3.1424648000,0.002225443
378,3.1419632000,0.002291698
379,3.1408384000,0.002216497
380,3.1418696000,0.002285125
381,3.1427432000,0.002297860
382,3.1408360000,0.002205336
383,3.1417720000,0.002398177
384,3.1403864000,0.002234781
385,3.1416048000,0.002214223
386,3.1412624000,0.002318408
387,3.1416656000,0.002237756
388,3.1414184000,0.002273063
389,3.1410296000,0.002294964
390,3.1423240000,0.002212119
391,3.1415120000,0.002351289
392,3.1434472000,0.002223420
393,3.1411880000,0.002224261
394,3.1413680000,0.002320673
395,3.1416408000,0.002244669
396,3.1406192000,0.002223340
397,3.1412216000,0.002298460
398,3.1417704000,0.002223721
399,3.1408048000,0.002282821
400,3.1418128000,0.002306956
401,3.1420128000,0.002236645
402,3.1405160000,0.002338405
403,3.1424992000,0.002237466
404,3.1415872000,0.002213652
405,3.1419944000,0.002339066
406,3.1416872000,0.002257444
407,3.1423848000,0.002273353
408,3.1416240000,0.002286689
409,3.1418272000,0.002216717
410,3.1402968000,0.002316695
411,3.1420496000,0.002247996
412,3.1415480000,0.002237406
413,3.1411576000,0.002309731
414,3.1418768000,0.002220855
415,3.1421400000,0.002265008
416,3.1426480000,0.002328076
417,3.1410920000,0.002287891
418,3.1421192000,0.002270658
419,3.1410624000,0.002215625
420,3.1413144000,0.002378962
421,3.1411696000,0.002338115
422,3.1422664000,0.002322565
423,3.1411520000,0.003261898
424,3.1418376000,0.002175650
425,3.1422808000,0.002297859
426,3.1409824000,0.002249990
427,3.1404944000,0.002249699
428,3.1410296000,0.002388249
429,3.1403800000,0.002211998
430,3.1412440000,0.002222157
431,3.1408664000,0.002382779
432,3.1425200000,0.002246643
433,3.1421160000,0.002382178
434,3.1416352000,0.002217969
435,3.1397936000,0.002197041
436,3.1406616000,0.002375404
437,3.1416840000,0.002269285
438,3.1418320000,0.002255640
439,3.1414736000,0.002469962
440,3.1413296000,0.003314215
441,3.1407008000,0.002905779
442,3.1413000000,0.002694683
443,3.1421760000,0.002777850
444,3.1424592000,0.002287940
445,3.1421016000,0.002297628
446,3.1424888000,0.002718889
447,3.1407336000,0.002194125
448,3.1417816000,0.003096076
449,3.1420736000,0.002335680
450,3.1427760000,0.002493827
451,3.1419680000,0.002211307
452,3.1406160000,0.002226386
453,3.1413072000,0.002398127
454,3.1408144000,0.002210355
455,3.1392176000,0.002463671
456,3.1404760000,0.002221065
457,3.1409376000,0.002334358
458,3.1416328000,0.002455304
459,3.1418752000,0.002207730
460,3.1409184000,0.002187542
461,3.1412864000,0.002381406
462,3.1413584000,0.002233489
463,3.1428176000,0.002391956
464,3.1406848000,0.002208401
465,3.1409904000,0.002583535
466,3.1412088000,0.002371697
467,3.1414704000,0.002210625
468,3.1406928000,0.002394060
469,3.1413584000,0.002225153
470,3.1417728000,0.002206087
471,3.1421984000,0.002415801
472,3.1419080000,0.002227708
473,3.1407752000,0.002204654
474,3.1413096000,0.002381196
475,3.1409568000,0.002349296
476,3.1419472000,0.002394811
477,3.1405808000,0.002196720
478,3.1419144000,0.002207630
479,3.1423280000,0.002369323
480,3.1422344000,0.002232226
481,3.1412096000,0.002215085
482,3.1407056000,0.002384642
483,3.1415848000,0.002233148
484,3.1423712000,0.002204795
485,3.1415936000,0.002423665
486,3.1401136000,0.002234721
487,3.1401520000,0.002355157
488,3.1417088000,0.002228789
489,3.1424736000,0.002185800
490,3.1417728000,0.002422413
491,3.1412000000,0.002226425
492,3.1419080000,0.002393018
493,3.1426600000,0.002227918
494,3.1423648000,0.002207961
495,3.1406960000,0.002410240
496,3.1413680000,0.002225935
497,3.1419216000,0.002209834
498,3.1407248000,0.002402606
499,3.1419096000,0.002213190
500,3.1421712000,0.002385584
501,3.1413792000,0.002240642
502,3.1413272000,0.002235212
503,3.1423328000,0.002374513
